Larry Nelson Steele,05/05/1949,Greencastle,IN
Samuel Troy Pellom,02/10/1951,Wilmington,NC
Benedict Jay Poquette,07/05/1955,Ann Arbor,MI
Augustus Bailey,18/02/1951,Gibson,NC,28/11/1988
John Albert Wiethe,17/10/1912,Cincinnati,OH,03/05/1989
Eric Robert Fernsten,01/11/1953,Oakland,CA
Goebel Franklin Ritter,26/02/1924,Richmond,KY,15/10/2004
Daniel Anthony Fortson,27/03/1976,Philadelphia,PA
Christopher Paul Mullin,30/07/1963,New York,NY
Donald Wayne Sloan,15/01/1988,Shreveport,LA
Anthony Goldwire,06/09/1971,West Palm Beach,FL
Bob McDonald,26/12/1937,Aldon-Clifton Heights,PA
Raymond Leroy Ramsey,18/07/1921,Springfield,IL,25/08/2009
Ulysses Lee Bridgeman,17/09/1953,East Chicago,IN
Kobe Bean Bryant,23/08/1978,Philadelphia,PA
Scott Glenn May,19/03/1954,Sandusky,OH
John William McCloskey,19/09/1925,Mahanoy City,PA
Arvesta Kelly,20/11/1945,Jackson,MS
James Leslie Kuplic,23/09/1911,Manitowoc,WI,22/07/1968
James William Cartwright,30/07/1957,Lodi,CA
Tyree Ricardo Davis,23/09/1979,Las Vegas,NV
Ime Udoka,09/08/1977,Portland,OR
Dwayne Alonzo Washington,06/01/1964,Brooklyn,NY
Rudolph Tomjanovich,24/11/1948,Hamtramck,MI
Martin William Byrnes,30/04/1956,Syracuse,NY
Charles Wade Barkley,20/02/1963,Leeds,AL
William Henry Hanzlik,06/12/1957,Middletown,OH
John Michael Roche,26/09/1949,New York,NY
John Morton,18/05/1967,Bronx,NY
Jeremy Shu-How Lin,23/08/1988,Palo Alto,CA
Erik Christopher Daniels,01/04/1982,Cincinnati,OH
Ephraim J. Rocha,18/09/1923,Hilo,HI,13/02/2010
Joe L. Reaves,27/05/1950,Bolivar,TN
John Francis Stephens,18/05/1933,Chicago,IL,31/08/2011
John D. Pritchard,23/01/1927,Minneapolis,MN
Horace Jenkins,14/10/1974,Elizabeth,NJ
Charles Daniel Smith,16/07/1965,Bridgeport,CT
Charles Edward Smith,29/11/1967,Washington,DC
Chris G. Smith,17/05/1970,Bridgeport,CT
Charles Cornelius Smith,22/08/1975,Fort Worth,TX
Daron Oshay Blaylock,20/03/1967,Garland,TX
Julian Emil-Jamaal Wright,20/05/1987,Chicago,IL
Thomas Eugene Wilson,07/08/1955,Gastonia,NC
Clarence Brown,29/02/1968,New York,NY
Thomas Edward Kelly,05/03/1924,New  York,NY,20/03/2008
Nathaniel McMillan,03/08/1964,Raleigh,NC
John Jardyne Wiggers,06/08/1917,Brooklyn,NY,14/03/2007
Peter Joseph Brennan,23/09/1936,Brooklyn,NY,08/06/2012
Philip Gregory Hubbard,13/12/1956,Canton,OH
Joseph J. Holup,26/02/1934,Swoyersville,PA,28/01/1998
Kevin Durell Edwards,30/10/1965,Cleveland Heights,OH
William Henry  Walker,09/10/1987,Huntington,WV
Barry D. Orms,01/05/1946,St. Louis,MO
Richard Lee Coffey,02/09/1965,Aurora,NC
Orva Lee Mayberry,12/06/1970,Tulsa,OK
Theodore Walter Cook,06/02/1922,Birmingham,AL,02/05/1990
Sidney Tanenbaum,08/10/1925,Brooklyn,NY,04/09/1986
Gregory Scott Lee,12/12/1951,Reseda,CA
Chris Wright,30/09/1988,Trotwood,OH
Daniel Matthew Langhi,28/11/1977,Chicago,IL
Melvin Lowell Peterson,23/03/1938,Thief River Falls,MN
Edgar Eddie Lacey,02/08/1944,Los Angeles,CA,22/03/2011
Raymond Bernard Felton,26/06/1984,Marion,SC
William Glenn McCahan,07/06/1921,Philadelphia,PA,03/07/1986
Arthur T. Williams,29/09/1939,Bonham,TX
Stanley J. Stutz,14/04/1920,Worcester,MA,28/10/1975
Andre Lavor Postell,26/02/1978,Albany,GA
Kenneth Bernard Faried Lewis,19/11/1989,Newark,NJ
Julian Hammond,27/05/1943,Chicago,IL
Darrell Kurt Rambis,25/02/1958,Cupertino,CA
Henry J. Finkel,20/04/1942,Union City,NJ
Steven Hill,14/11/1985,Chanute,KS
Myer Upton Skoog,02/11/1926,Duluth,MN
Randolph Woods,23/09/1970,Philadelphia,PA
Rodney Clark Hundley,26/10/1934,Charleston,WV
John William Block,16/04/1944,Los Angeles,CA
Fred Melvin McGaha,26/09/1926,Bastrop,LA,03/02/2002
Rusty LaRue,10/12/1973,Winston-Salem,NC
Frank Sands Brian,01/05/1923,Zachary,LA
Cedric Jackson,05/03/1986,Alamagordo,NM
Nathaniel Cornelius Robinson,31/05/1984,Seattle,WA
Anthony Bernard Carter,16/06/1975,Atlanta,GA
John David Douglas,12/06/1956,Town Creek,AL
Richard Arthur Grubar,26/07/1947,Schenectady,NY
Essie Bernard Hollis,16/05/1955,Erie,PA
Wilbur Holland,08/11/1951,Columbus,GA
Mel Grant Counts,16/10/1941,Coos Bay,OR
Anthony Leon Tucker,05/05/1985,Raleigh,NC
John Gabriel Pinone,19/02/1961,Hartford,CT
Elvin Dennis Ivory,02/07/1948,Birmingham,AL
Edwin John Kachan,15/09/1925,Chicago,IL,07/03/1993
Lionel James Simmons,14/11/1968,Philadelphia,PA
Ronald Bruce Boone,06/09/1946,Oklahoma City,OK
Marcus Terrell Thornton,05/06/1987,Baton Rouge,LA
Meyer Bloom,14/01/1915,New York,NY,05/06/1993
Dennis Boyd,21/05/1954,Portsmouth,VA
Maurice Martin,02/07/1964,Liberty,NY
Bryon Demetrise Russell,31/12/1970,San Bernardino,CA
Merrill Smith Hubbard,19/10/1925,St. Paul,MN,03/12/2002
George Joseph Sutor,14/09/1943,Philadelphia,PA,29/08/2011
Ronald F. Kozlicki,12/12/1944,Chicago,IL
Elmer H. Behnke,03/02/1929,Rockford,IL
Kelly Coleman,21/09/1938,Wayland,KY
Lewis Kevin Lloyd,22/02/1959,Philadelphia,PA
Mark Anthony Jones,10/04/1961,Rochester,NY
Major James Brooks Jones,09/07/1953,McGehee,AR
William Felton Russell,12/02/1934,Monroe,LA
Mark Jones,25/05/1975,Milwaukee,WI
Dirk DeWayne Minniefield,17/01/1961,Lexington,KY
Wesley Cox,27/01/1955,Louisville,KY
Joseph A. Wright,05/09/1950,Savannah,GA
Raymond Lee Tolbert,10/09/1958,Anderson,IN
Tony F. White,15/02/1965,Charlotte,NC
Ralph M. Polson,26/10/1929,Riverside,CA
Daniel Gregg Santiago,24/06/1976,Lubbock,TX
Ralph English Bishop,01/10/1915,Brooklyn,NY
Christen Guilford Dudley,22/02/1965,Stamford,CT
Charles Dudley,05/03/1950,Harrisburg,PA
Michael George Williams,14/08/1963,Chicago,IL
Micheal Douglas Williams,23/07/1966,Dallas,TX
William McNeil Jones,03/02/1914,Toledo,OH,09/04/2006
Milton Williams,22/11/1945,Seattle,WA
Willard L. Sojourner,10/09/1948,Philadelphia,PA,20/10/2005
Zelmo Beaty,25/10/1939,Hillister,TX
Scott Richard Haffner,02/02/1966,Terre Haute,IN
Tyrone Curtis Bogues,09/01/1965,Baltimore,MD
Kenneth W. Gunning,04/06/1914,Shelbyville,IN,02/04/1991
Delbert Rice,27/10/1922,Portsmouth,OH,26/01/1983
Stanley Washington,23/01/1952,Washington,DC
Oscar Palmer Robertson,24/11/1938,Charlotte,TN
Jerry Reynolds,23/12/1962,Brooklyn,NY
Gregory Wayne Anderson,22/06/1964,Houston,TX
Luther D. Burden,28/02/1953,Haines City,FL
Joseph Xavier Forte,23/03/1981,Atlanta,GA
James L. Bailey,21/05/1957,Dublin,GA
Munden Guy Morgan,23/08/1960,Virginia Beach,VA
Rick Daniel Brunson,14/06/1972,Syracuse,NY
Alvin Harold Carlson,17/09/1951,Oceanside,CA
Joe DePre,19/12/1947,Westbury,NY
Christopher McNealy,15/07/1961,Fresno,CA
Michael Levin Anderson,23/03/1966,Philadelphia,PA
John Graham Kerr,17/08/1932,Chicago,IL,26/02/2009
John Earl Simmons,07/07/1924,Birmingham,AL,01/08/2008
Allen Ezail Iverson,07/06/1975,Hampton,VA
Brian Lee Cardinal,02/05/1977,Tolono,IL
Chris Ray Wilcox,03/08/1982,Raleigh,NC
Estes Foster Parham,27/12/1921,Fort Worth,TX
Glen Michael Gondrezick,30/08/1955,Boulder,CO,27/04/2009
Clinton Renard Moore,04/11/1975,Orangeburg,SC
Thomas Ernest Sanders,08/11/1938,Brooklyn,NY
Ralph A. Jackson,26/10/1962,Los Angeles,CA
Randell Jackson,16/01/1976,Boston,MA
Christopher Sean Robinson,02/04/1974,Columbus,GA
Eddie Hughes,26/05/1960,Greenville,MS
Phil Jackson Ford,09/02/1956,Rocky Mount,NC
Richard Wayne Dumas,19/05/1969,Tulsa,OK
Richard Allen Jefferson,21/06/1980,Los Angeles,CA
James G. Palmer,08/06/1933,Keokee,VA
David Leroy Wood,30/11/1964,Spokane,WA
Melvin Harrison Turpin,28/12/1960,Lexington,KY,08/07/2010
Samuel Keith Williams,07/03/1959,Los Angeles,CA
Donald Adam Royal,22/05/1966,New Orleans,LA
Charles Edward Shackleford,22/04/1966,Kinston,NC
Edward John Bartels,08/10/1925,New York,NY,04/11/2007
Brian Joseph Winters,01/03/1952,Rockaway,NY
Ned R. Endress,02/03/1918,Akron,OH,19/06/2010
Richard J. Bunt,13/07/1930,New York,NY
Ovinton J'Anthony Mayo,05/11/1987,Huntington,WV
John Stroeder,24/07/1958,Bremerton,WA
Charles Jenkins,28/02/1989,Brooklyn,NY
Kevin Brooks,12/10/1969,Beaufort,SC
James Thomas Grandholm,04/10/1960,Elkhart,IN
Gary G. Suiter,18/01/1945,Albuquerque,NM,23/10/1982
Luther Rackley,11/06/1946,Bainbridge,GA
Orlando Vernada Woolridge,16/12/1959,Bernice,LA,31/05/2012
